City Location,Type of Restaurant,Favorite Dish ,Popular Cuisine
Banashankari,Buffet,Biryani + Paneer,Indian + Chinese
Banashankari,Cafes,Pasta + Pizza,Italian + Fast
Banashankari,Delivery,Chicken + Biryani,Indian + Chinese
Banashankari,Desserts,Cake + Fudge,Bakery + Ice Cream
Banashankari,Dine-out,Dosa + Masala,Indian + Chinese
Banashankari,Drinks & Nightlife,Chicken + Beer,Indian + Chinese
Banashankari,Pubs & Bars,N/A,N/A
Bannerghatta Road,Buffet,Chicken + Biryani,Indian + Chinese
Bannerghatta Road,Cafes,Pizza + Coffee,Beverages + Continental
Bannerghatta Road,Delivery,Chicken + Biryani,Indian + Chinese
Bannerghatta Road,Desserts,Chocolate + Cake,Bakery + Ice Cream
Bannerghatta Road,Dine-out,Chicken + Biryani,Indian + Chinese
Bannerghatta Road,Drinks & Nightlife,Chicken + Cocktails,Indian + Continental
Bannerghatta Road,Pubs & Bars,N/A,N/A
Basavanagudi,Buffet,Biryani + Paneer,Indian + Chinese
Basavanagudi,Cafes,Pizza + Pasta,Beverages + Italian
Basavanagudi,Delivery,Chicken + Biryani,Indian + Chinese
Basavanagudi,Desserts,Chocolate + Waffles,Bakery + Beverages
Basavanagudi,Dine-out,Chicken + Dosa,Indian + Chinese
Basavanagudi,Drinks & Nightlife,Cocktails + Beer,Indian + Chinese
Basavanagudi,Pubs & Bars,N/A,N/A
Bellandur,Buffet,Chicken + Curry,Indian + Continental
Bellandur,Cafes,Chicken + Burger,Beverages + Burger
Bellandur,Delivery,Chicken + Biryani,Indian + Chinese
Bellandur,Desserts,Chocolate + Cake,Bakery + Ice Cream
Bellandur,Dine-out,Chicken + Biryani,Indian + Chinese
Bellandur,Drinks & Nightlife,Cocktails + Chicken,Indian + Continental
Bellandur,Pubs & Bars,Cocktails + Chicken,Indian + Continental
Brigade Road,Buffet,Salads + Biryani,Indian + Continental
Brigade Road,Cafes,Pasta + Pizza,Continental + Italian
Brigade Road,Delivery,Chicken + Biryani,Indian + Chinese
Brigade Road,Desserts,Chocolate + Ice Cream,Bakery + Ice Cream
Brigade Road,Dine-out,Chicken + Biryani,Indian + Chinese
Brigade Road,Drinks & Nightlife,Pizza + Nachos,Indian + Continental
Brigade Road,Pubs & Bars,Chicken + Cocktails,Indian + Continental
Brookefield,Buffet,Chicken + Biryani,Indian + Continental
Brookefield,Cafes,Pizza + Burgers,Italian + Beverages
Brookefield,Delivery,Chicken + Biryani,Indian + Chinese
Brookefield,Desserts,Chocolate + Pizza,Bakery + Ice Cream
Brookefield,Dine-out,Chicken + Biryani,Indian + Chinese
Brookefield,Drinks & Nightlife,Beer + Chicken,Indian + Finger Food
Brookefield,Pubs & Bars,N/A,N/A
BTM,Buffet,Chicken + Biryani,Indian + Chinese
BTM,Cafes,Chicken + Pasta,Continental + Beverages
BTM,Delivery,Chicken + Biryani,Indian + Chinese
BTM,Desserts,Chocolate + Cake,Bakery + Beverages
BTM,Dine-out,Chicken + Biryani,Indian + Chinese
BTM,Drinks & Nightlife,Chicken + Cocktails,Indian + Continental
BTM,Pubs & Bars,Chicken + Cocktails,Indian + Continental
Church Street,Buffet,Salads + Biryani,Indian + Continental
Church Street,Cafes,Pasta + Peri Peri Chicken,Indian + Continental
Church Street,Delivery,Chicken + Biryani,Indian + Chinese
Church Street,Desserts,Chocolate + Ice Cream,Bakery + Ice Cream
Church Street,Dine-out,Chicken + Biryani,Indian + Chinese
Church Street,Drinks & Nightlife,Cocktails + Chicken,Indian + Continental
Church Street,Pubs & Bars,Cocktails + Chicken,Indian + Continental
Electronic City,Buffet,Pasta + Salads,Indian + Continental
Electronic City,Cafes,Peri Peri Fries + Burgers,Beverages + Bakery
Electronic City,Delivery,Chicken + Biryani,Indian + Chinese
Electronic City,Desserts,Chicken + Pasta,Bakery + Indian
Electronic City,Dine-out,Chicken + Biryani,Indian + Chinese
Electronic City,Drinks & Nightlife,Cocktails + Beer,Indian + Finger Food
Electronic City,Pubs & Bars,Cocktails + Beer,Indian + Chinese
Frazer Town,Buffet,Biryani + Breakfast,Indian + Continental
Frazer Town,Cafes,Pasta + Peri Peri Chicken,Continental + Italian
Frazer Town,Delivery,Chicken + Biryani,Indian + Chinese
Frazer Town,Desserts,Chocolate + Brownie,Bakery + Beverages
Frazer Town,Dine-out,Chicken + Biryani,Indian + Chinese
Frazer Town,Drinks & Nightlife,Cocktails + Masala,Indian + Chinese
Frazer Town,Pubs & Bars,Cocktails + Beer,Indian + Chinese
HSR,Buffet,Chicken + Biryani,Indian + Chinese
HSR,Cafes,Pasta + Burgers,Continental + Italian
HSR,Delivery,Chicken + Biryani,Indian + Chinese
HSR,Desserts,Chocolcate + Ice Cream,Bakery + Ice Cream
HSR,Dine-out,Chicken + Biryani,Indian + Chinese
HSR,Drinks & Nightlife,Cocktails + Peri Peri Chicken,Indian + Continental
HSR,Pubs & Bars,Cocktails + Peri Peri Chicken,Indian + Continental
Indiranagar,Buffet,Chicken + Biryani,Indian + Chinese
Indiranagar,Cafes,Chicken + Pasta,Continental + Italian
Indiranagar,Delivery,Chicken + Biryani,Indian + Chinese
Indiranagar,Desserts,Cake + Chocolate,Bakery + Ice Cream
Indiranagar,Dine-out,Chicken + Biryani,Indian + Chinese
Indiranagar,Drinks & Nightlife,Chicken + Cocktails,Continental + Indian
Indiranagar,Pubs & Bars,Chicken + Cocktails,Indian + Continental
Jayanagar,Buffet,Biryani + Chicken,Indian + Chinese
Jayanagar,Cafes,Pizza + Pasta,Beverages + Continental
Jayanagar,Delivery,Biryani + Chicken,Indian + Chinese
Jayanagar,Desserts,Chocolate + Coffee,Bakery + Ice Cream
Jayanagar,Dine-out,Chicken + Biryani,Indian + Chinese
Jayanagar,Drinks & Nightlife,Cocktails + Chicken,Indian + Continental
Jayanagar,Pubs & Bars,N/A,N/A
JP Nagar,Buffet,Chicken + Biryani,Indian + Chinese
JP Nagar,Cafes,Pizza + Chicken,Beverages + Italian
JP Nagar,Delivery,Chicken + Biryani,Indian + Chinese
JP Nagar,Desserts,Chocolate + Brownie,Bakery + Ice Cream
JP Nagar,Dine-out,Chicken + Biryani,Indian + Chinese
JP Nagar,Drinks & Nightlife,Cocktails + Chicken,Indian + Continental
JP Nagar,Pubs & Bars,N/A,N/A
Kalyan Nagar,Buffet,Chicken + Biryani,Indian + Chinese
Kalyan Nagar,Cafes,Pasta + Burgers,Continental + Italian
Kalyan Nagar,Delivery,Chicken + Biryani,Indian + Chinese
Kalyan Nagar,Desserts,Chocolate + Hot Chocolate,Bakery + Ice Cream
Kalyan Nagar,Dine-out,Chicken + Biryani,Indian + Chinese
Kalyan Nagar,Drinks & Nightlife,Beer + Chicken,Continental + Indian
Kalyan Nagar,Pubs & Bars,N/A,N/A
Kammanahalli,Buffet,N/A,N/A
Kammanahalli,Cafes,Burgers + Pasta,Continental + Italian
Kammanahalli,Delivery,Chicken + Biryani,Indian + Chinese
Kammanahalli,Desserts,Chocolate + Brownie,Bakery + Ice Cream
Kammanahalli,Dine-out,Chicken + Biryani,Indian + Chinese
Kammanahalli,Drinks & Nightlife,Beer + Chicken,Continental + Indian
Kammanahalli,Pubs & Bars,N/A,N/A
Koramangala 4th Block,Buffet,Chicken + Biryani,Indian + Chinese
Koramangala 4th Block,Cafes,Pasta + Chicken,Continental + Italian
Koramangala 4th Block,Delivery,Chicken + Biryani,Indian + Chinese
Koramangala 4th Block,Desserts,Chocolate + Waffles,Bakery + Beverages
Koramangala 4th Block,Dine-out,Chicken + Biryani,Indian + Chinese
Koramangala 4th Block,Drinks & Nightlife,Chicken + Cocktails,Indian + Continental
Koramangala 4th Block,Pubs & Bars,N/A,N/A
Koramangala 5th Block,Buffet,Chicken + Biryani,Indian + Chinese
Koramangala 5th Block,Cafes,Chicken + Pasta,Continental + Italian
