"name","approx_cost(for two people)","online_order","book_table","rest_type","listed_in(type)","listed_in(city)","dish_liked","cuisines","rate"
"Jalsa",800,1,1,"Casual Dining","Buffet","Banashankari","Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese","4"
"Spice Elephant",800,1,0,"Casual Dining","Buffet","Banashankari","Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai","4"
"San Churro Cafe",800,1,0,"Cafe, Casual Dining","Buffet","Banashankari","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian","4"
"Addhuri Udupi Bhojana",300,0,0,"Quick Bites","Buffet","Banashankari","Masala Dosa","South Indian, North Indian","4"
"Grand Village",600,0,0,"Casual Dining","Buffet","Banashankari","Panipuri, Gol Gappe","North Indian, Rajasthani","4"
"Timepass Dinner",600,1,0,"Casual Dining","Buffet","Banashankari","Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice","North Indian","4"
"Onesta",600,1,1,"Casual Dining, Cafe","Cafes","Banashankari","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian","5"
"Penthouse Cafe",700,1,0,"Cafe","Cafes","Banashankari","Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental","4"
"Smacznego",550,1,0,"Cafe","Cafes","Banashankari","Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages","4"
"Down The Alley",500,1,0,"Cafe","Cafes","Banashankari","Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe","Cafe","4"
"Cafe Shuffle",600,1,1,"Cafe","Cafes","Banashankari","Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental","4"
"The Coffee Shack",500,1,1,"Cafe","Cafes","Banashankari","Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian","4"
"Caf-Eleven",450,0,0,"Cafe","Cafes","Banashankari","Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental","4"
"San Churro Cafe",800,1,0,"Cafe, Casual Dining","Cafes","Banashankari","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian","4"
"Cafe Vivacity",650,1,0,"Cafe","Cafes","Banashankari","Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges","Cafe","4"
"Catch-up-ino",800,1,0,"Cafe","Cafes","Banashankari","Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos","4"
"Kirthi's Biryani",700,1,0,"Cafe","Cafes","Banashankari","Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian","4"
"T3H Cafe",300,0,0,"Cafe","Cafes","Banashankari","Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American","4"
"The Vintage Cafe",400,1,0,"Cafe","Cafes","Banashankari","Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian","3"
"Woodee Pizza",500,1,0,"Cafe","Cafes","Banashankari","Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages","4"
"My Tea House",600,1,0,"Quick Bites, Cafe","Cafes","Banashankari","Pasta, Iced Tea","Italian, Fast Food, Cafe, European","4"
"Srinathji's Cafe",550,0,0,"Casual Dining, Cafe","Cafes","Banashankari","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food","4"
"Redberrys",600,1,0,"Cafe","Cafes","Banashankari","Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian","4"
"Foodiction",500,1,0,"Quick Bites","Delivery","Banashankari","Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger","3"
"Ovenstory Pizza",750,1,0,"Delivery","Delivery","Banashankari","Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza","Pizza","4"
"Faasos",500,1,0,"Quick Bites","Delivery","Banashankari","Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food","4"
"Behrouz Biryani",650,1,0,"Delivery","Delivery","Banashankari","Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani","Biryani","4"
"Szechuan Dragon",600,1,0,"Casual Dining","Delivery","Banashankari","Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos","4"
"Empire Restaurant",750,1,0,"Casual Dining","Delivery","Banashankari","Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese","4"
"Chaatimes",200,1,0,"Quick Bites","Delivery","Banashankari","Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food","4"
"McDonald's",500,1,0,"Quick Bites","Delivery","Banashankari","Burgers, Fries, Hot Chocolate","Burger, Fast Food","4"
"Domino's Pizza",800,1,0,"Quick Bites","Delivery","Banashankari","Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food","4"
"Onesta",600,1,1,"Casual Dining, Cafe","Delivery","Banashankari","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian","5"
"Hotboxit",400,0,0,"Delivery","Delivery","Banashankari","Prompt Service","North Indian, Continental, Italian","4"
"Kitchen Garden",300,1,0,"Quick Bites","Delivery","Banashankari","Biryani","North Indian, Chinese","4"
"Recipe",450,1,0,"Casual Dining","Delivery","Banashankari","Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls","4"
"Beijing Bites",850,1,0,"Casual Dining","Delivery","Banashankari","Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai","4"
"Tasty Bytes",300,1,0,"Quick Bites","Delivery","Banashankari","Paratha, Pasta","North Indian, Chinese, Momos, Rolls","3"
"Corner House Ice Cream",400,0,0,"Dessert Parlor","Delivery","Banashankari","Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts","4"
"Biryanis And More",750,1,0,"Casual Dining","Delivery","Banashankari","Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian","4"
"Roving Feast",450,0,0,"Quick Bites","Delivery","Banashankari","Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos","4"
"FreshMenu",450,1,0,"Delivery","Delivery","Banashankari","Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger","4"
